,State,County,FIPS,Year,Total_Chargers,Vehicles,VehiclesChevrolet,VehiclesChevrolet_pct,Total_Chargers_PM2,pclon10,pclat10
47,NJ,Gloucester,34015,2020,43.0,796,65.0,0.08165829145728644,0.13353622558305642,-75.12745600000001,39.749187
48,NJ,Hudson,34017,2017,29.0,532,36.0,0.06766917293233082,0.6278415241394242,-74.061278,40.742925
49,NJ,Hudson,34017,2018,66.0,855,43.0,0.05029239766081872,1.4288807101104135,-74.061278,40.742925
50,NJ,Hudson,34017,2019,140.0,1207,48.0,0.039768019884009936,3.0309590820523926,-74.061278,40.742925
51,NJ,Hudson,34017,2020,158.0,1886,57.0,0.030222693531283137,3.4206538211734143,-74.061278,40.742925
52,NJ,Hunterdon,34019,2017,13.0,323,58.0,0.17956656346749225,0.03038661119162265,-74.896782,40.572183
53,NJ,Hunterdon,34019,2018,15.0,503,73.0,0.14512922465208747,0.03506147445187228,-74.896782,40.572183
54,NJ,Hunterdon,34019,2019,22.0,692,75.0,0.1083815028901734,0.05142349586274601,-74.896782,40.572183
55,NJ,Hunterdon,34019,2020,26.0,876,80.0,0.09132420091324199,0.060773222383245284,-74.896782,40.572183
56,NJ,Mercer,34021,2017,34.0,847,125.0,0.14757969303423848,0.15140719629497684,-74.70034,40.255565999999995
57,NJ,Mercer,34021,2018,44.0,1464,178.0,0.12158469945355192,0.19593872461702885,-74.70034,40.255565999999995
58,NJ,Mercer,34021,2019,78.0,2061,196.0,0.09509946627850556,0.3473459209120057,-74.70034,40.255565999999995
59,NJ,Mercer,34021,2020,81.0,2758,217.0,0.07868020304568528,0.3607053794086213,-74.70034,40.255565999999995
60,NJ,Middlesex,34023,2017,40.0,1200,146.0,0.12166666666666667,0.129487553008967,-74.38792099999999,40.485529
61,NJ,Middlesex,34023,2018,67.0,2298,171.0,0.07441253263707573,0.21689165129001967,-74.38792099999999,40.485529
62,NJ,Middlesex,34023,2019,134.0,3424,192.0,0.05607476635514018,0.43378330258003933,-74.38792099999999,40.485529
63,NJ,Middlesex,34023,2020,172.0,4699,208.0,0.044264737178123015,0.5567964779385581,-74.38792099999999,40.485529
64,NJ,Monmouth,34025,2017,26.0,1249,132.0,0.10568454763811047,0.05546193391497259,-74.14773000000001,40.291301000000004
65,NJ,Monmouth,34025,2018,32.0,1929,163.0,0.0844997407983411,0.06826084174150472,-74.14773000000001,40.291301000000004
66,NJ,Monmouth,34025,2019,49.0,2622,183.0,0.06979405034324943,0.1045244139166791,-74.14773000000001,40.291301000000004
67,NJ,Monmouth,34025,2020,75.0,3663,245.0,0.06688506688506689,0.1599863478316517,-74.14773000000001,40.291301000000004
68,NJ,Morris,34027,2017,29.0,1149,143.0,0.12445604873803308,0.06301881872310834,-74.501661,40.859552
69,NJ,Morris,34027,2018,36.0,1783,170.0,0.09534492428491306,0.07823025772523795,-74.501661,40.859552
70,NJ,Morris,34027,2019,83.0,2423,179.0,0.07387536112257533,0.18036420531096528,-74.501661,40.859552
71,NJ,Morris,34027,2020,102.0,3227,200.0,0.061977068484660676,0.2216523968881742,-74.501661,40.859552
72,NJ,Ocean,34029,2017,9.0,493,73.0,0.14807302231237324,0.014313432361080188,-74.21461,39.973657
73,NJ,Ocean,34029,2018,13.0,746,80.0,0.10723860589812333,0.020674957854893605,-74.21461,39.973657
74,NJ,Ocean,34029,2019,33.0,1062,97.0,0.09133709981167608,0.05248258532396069,-74.21461,39.973657
75,NJ,Ocean,34029,2020,37.0,1774,215.0,0.12119503945885005,0.0588441108177741,-74.21461,39.973657
76,NJ,Passaic,34031,2017,8.0,492,70.0,0.14227642276422764,0.04333929248605017,-74.191473,40.925360999999995
77,NJ,Passaic,34031,2018,8.0,672,76.0,0.1130952380952381,0.04333929248605017,-74.191473,40.925360999999995
78,NJ,Passaic,34031,2019,19.0,827,76.0,0.09189842805320436,0.10293081965436914,-74.191473,40.925360999999995
79,NJ,Passaic,34031,2020,25.0,1130,91.0,0.08053097345132744,0.13543528901890675,-74.191473,40.925360999999995
80,NJ,Salem,34033,2017,0.0,37,8.0,0.21621621621621626,0.0,-75.37658,39.625938
81,NJ,Salem,34033,2018,0.0,56,13.0,0.23214285714285715,0.0,-75.37658,39.625938
82,NJ,Salem,34033,2019,2.0,71,14.0,0.19718309859154928,0.006025911419102139,-75.37658,39.625938
83,NJ,Salem,34033,2020,5.0,104,15.0,0.14423076923076922,0.015064778547755347,-75.37658,39.625938
84,NJ,Somerset,34035,2017,21.0,938,131.0,0.1396588486140725,0.06958019946323846,-74.57879799999999,40.561176
85,NJ,Somerset,34035,2018,27.0,1573,149.0,0.094723458359822,0.08946025645273517,-74.57879799999999,40.561176
86,NJ,Somerset,34035,2019,87.0,2203,178.0,0.08079891057648661,0.28826082634770217,-74.57879799999999,40.561176
87,NJ,Somerset,34035,2020,117.0,2878,190.0,0.0660180681028492,0.3876611112951857,-74.57879799999999,40.561176
88,NJ,Sussex,34037,2017,8.0,216,39.0,0.18055555555555555,0.015413961195352691,-74.654037,41.091219
89,NJ,Sussex,34037,2018,8.0,301,48.0,0.15946843853820594,0.015413961195352691,-74.654037,41.091219
90,NJ,Sussex,34037,2019,18.0,372,54.0,0.14516129032258066,0.03468141268954356,-74.654037,41.091219
91,NJ,Sussex,34037,2020,20.0,525,67.0,0.12761904761904766,0.038534902988381727,-74.654037,41.091219
92,NJ,Union,34039,2017,23.0,707,95.0,0.13437057991513435,0.22360489986389268,-74.294239,40.659609
93,NJ,Union,34039,2018,29.0,1083,106.0,0.09787626962142196,0.2819366128718647,-74.294239,40.659609
94,NJ,Union,34039,2019,42.0,1499,120.0,0.0800533689126084,0.40832199105580397,-74.294239,40.659609
95,NJ,Union,34039,2020,79.0,2022,141.0,0.06973293768545995,0.7680342212716313,-74.294239,40.659609
96,NJ,Warren,34041,2017,2.0,86,22.0,0.2558139534883721,0.005603496581867085,-75.016426,40.795162
97,NJ,Warren,34041,2018,2.0,171,26.0,0.152046783625731,0.005603496581867085,-75.016426,40.795162
98,NJ,Warren,34041,2019,2.0,229,28.0,0.1222707423580786,0.005603496581867085,-75.016426,40.795162
99,NJ,Warren,34041,2020,2.0,298,31.0,0.1040268456375839,0.005603496581867085,-75.016426,40.795162
100,NY,Albany,36001,2010,0.0,72,3.0,0.04166666666666666,0.0,-73.81304,42.678976
101,NY,Albany,36001,2011,4.0,86,12.0,0.13953488372093026,0.007651109410864576,-73.81304,42.678976
